공고명,관련,호
창원우체국 아파트전담 소포우편물 위탁배달 용역,2,35
아파트전담 소포우편물 위탁배달 용역(화성),2,35
(긴급) 스트레치필름(공업용 랩) 2종 제조·구매,1,46
아파트전담 소포우편물 위탁배달 용역(김포),2,35
2025년도 제2차 우정인재개발원 구내식당 식재료(육류) 단가계약,1,19
2025년도 제2차 우정인재개발원 구내식당 식재료(공산품 및 음료류) 단가계약,1,19
2025년도 제2차 우정인재개발원 구내식당 식재료(수산물 및 해초류) 단가계약,1,19
지역배송업체 소포우편물 위탁배달 용역(안성),2,35
사천우체국 아파트전담 소포우편물 위탁배달 용역 ,2,35
진해우체국 아파트전담 소포우편물 위탁배달 용역,2,35
울산우체국 아파트전담 소포우편물 위탁배달 용역,2,35
아파트전담 소포우편물 위탁배달 용역(여주),2,35
아파트전담 소포우편물 위탁배달 용역(안양),2,35
아파트전담 소포우편물 위탁배달 용역(화성동탄_남동탄),2,35
부산연제우체국 아파트전담 소포우편물 위탁배달 용역,2,35
서울강서우체국 아파트전담 소포우편물 위탁배달용역,2,35
해운대우체국 아파트전담 소포우편물 위탁배달 용역,2,35
2025 SF축제 기획 및 행사운영 위탁용역 ,1,69
칠곡우체국 지역배송업체 소포우편물 위탁배달 용역,2,35
울릉우체국 지역배송업체 소포우편물 위탁배달 용역,2,35
2025년 하반기 기획특별전「첨단바이오 기술 특별전」용역,1,69
부산금정우체국 아파트전담 소포우편물 위탁배달 용역,2,35
거제우체국 지역배송업체 소포우편물 위탁배달 용역,2,35
아파트전담 소포우편물 위탁배달 용역(인천),2,35
스트레치필름(공업용) 2종 제조 구매,1,46
25년~26년 플라스틱 팰릿 임차 단가 용역,1,45
운송용기(롤테이너) 제조 구매,1,46
아파트전담 소포우편물 위탁배달 용역(화성동탄_봉담),2,35
아파트전담 소포우편물 위탁배달 용역(세종우체국),2,35
서울강남우체국 아파트전담 소포우편물 위탁배달 용역,2,35
아파트전담 소포우편물 위탁배달 용역(서청주우체국),2,35
2026년도 우체국달력 디자인 기획 편집 용역,2,76
서울구로우체국(금천구 지역) 아파트전담 소포우편물 위탁배달용역,2,35
아파트전담 소포우편물 위탁배달 용역(부천),2,35
아파트전담 소포우편물 위탁배달 용역(성남),2,35
아파트전담 소포우편물 위탁배달 용역(청주우체국),2,35
아파트전담 소포우편물 위탁배달 용역(광명),2,35
아파트전담 소포우편물 위탁배달 용역(대전대덕우체국),2,35
서울송파우체국 아파트전담 소포우편물 위탁배달용역,2,35
부산강서우체국(지역1) 아파트전담 소포우편물 위탁배달 용역,2,35
2025년도 제1차 우정인재개발원 구내식당 식재료 단가계약(육류),1,19
2025년도 제1차 우정인재개발원 구내식당 식재료 단가계약(수산물 및 해초류),1,19
2025년도 제1차 우정인재개발원 구내식당 식재료 단가계약(공산품),1,19
사천우체국(지역2) 아파트전담 소포우편물 위탁배달 용역,2,35
사천우체국(지역1) 아파트전담 소포우편물 위탁배달 용역,2,35
2025년 테크콘(TechCon 2025) 행사 대행 용역(수의시담),1,69
경산우체국 소포우편물 아파트전담 위탁배달업체 용역 계약,2,35
2025년도 장기근속자 부부동반 제주연수,1,58
2025 브랜드기획전 미래동물 전시연출용역,1,69
2025년 테크콘(TechCon 2025) 행사 대행 용역,1,69
화순우체국 지역배송업체 소포우편물 위탁배달 용역,2,35
영광우체국 지역배송업체 소포우편물 위탁배달 용역,2,35
아파트전담 소포우편물 위탁배달 용역(서인천),2,35
영월지역배송업체 소포우편물 위탁배달 용역 ,2,35
2025년 문경우체국 소포우편물 지역배송업체 위탁배달 용역계약,2,35
"K사이언스 해외전시 연출, 조성 및 운영 용역",1,69
아파트전담 소포우편물 위탁배달 용역(인천남동),2,35
2026년 국가위성운영센터 직원식당 위탁운영,2,29
누리호 4차 발사 연계 교육  프로그램 기획 및 운영 용역,2,71
2025년도 한미 공공외교 포럼 기획 및 운영,1,69
글로벌 우주협력 포럼 대행,1,69
홍보물품 기획 및 제작(폴리에스터 소재),1,19
홍보물 제작,1,19
제6차 한-태평양도서국 외교장관회의 행사 대행,1,69
홍보물품 기획 및 제작(세라믹소재),1,19
홍보물품 기획 및 제작(실크소재),1,19
제12차 그린라운드테이블 운영 대행,1,69
2025글로벌 혁신을 위한 미래대화 위탁 운영,1,69
한-라오스 미래포럼 행사준비 및 개최 대행,1,69
2025 서울외교포럼 행사 준비 대행 업체 입찰,1,69
2025 한-아프리카 고위관리회의(SOM) 행사대행업체(PCO),1,69
제14기 글로벌 녹색성장 서포터즈 운영 대행,1,69
제13차 한-메콩 비즈니스 포럼 행사 대행 용역,1,69
「2025년 제7차 한-아세안 싱크탱크 전략대화」 행사 대행업체 입찰,1,69
제21차 한-중동 협력포럼 기획 및 운영,1,69
제10회 해양법 국제학술회의 운영,1,69
2025 푸른 하늘의 날 기념 제5회 월경성 대기오염 대응 국제 포럼,1,69
2025년도 부산 글로벌 파트너십 포럼 행사대행업체(PCO) 선정,1,69
홍보물품 기획 및 제작(스테인리스 소재),1,19
서울 중동문제 국제회의 기획 및 운영,1,69
2025 동아시아협력포럼 행사 운영 대행,1,69
2025년 교육기자재 해외 배송 대행 용역,1,40
2025년 한글학교 교육자료 지원사업 해외배송 대행,1,40
2025년 전통문화용품 해외 배송 대행 용역,1,40
대구출입국·외국인사무소 2026년 보호외국인급식 공급용역,2,9
2026년도 법무연수원 식자재 납품업체 선정,2,9
춘천출입국외국인사무소 2026년 보호외국인 급식공급 용역,2,9
2026년 제주출입국외국인청 출국대기실 입실자 급식용역계약 입찰 공고,2,9
밀양구치소 김치류 구매 입찰 공고,2,9
밀양구치소 공산품·수산물 구매 입찰 공고,2,9
밀양구치소  농산물·양곡 ·절임류 구매 입찰 공고,2,9
밀양구치소 축산물 구매 입찰 공고,2,9
충주구치소 급식용 농산물 구매 2단계(규격·가격 동시)입찰,2,9
충주구치소 급식용 축·수산물 구매 2단계(규격·가격 동시)입찰,2,9
충주구치소 급식용 공산품 구매 2단계(규격·가격 동시)입찰,2,9
서울남부구치소 급식용 김치류 11종 구매 입찰공고,2,9
서울동부구치소 급식용 공산품 구매입찰,2,9
부산교도소 직원 급식용 일반미 구매(소액수의) 견적 제출 입찰공고,2,9
서울구치소 급식용 양곡류 구매,2,9
"서울남부구치소 급식용 농산물 73종 구매2단계(규격,가격동시) 입찰공고",2,9
서울구치소 급식용 우유류 및 두유 구매,2,9
서울구치소 급식용 두부류 구매,2,9
서울구치소 급식용 절임류 구매,2,9
"부산교도소 급식용 수산물(가자미 등 53종) 구매 2단계(규격,가격 동시) 입찰 공고",2,9
부산교도소 급식용 농산물(감자 등 78종) 구매 2단계(규격·가격 동시) 입찰 공고,2,9
충주구치소 수용자 자비구매(과일류 9종) 구매 소액수의 견적제출,2,9
광주출입국외국인사무소 보호외국인 급식공급 계약,2,9
2026년 청주소년원 상반기 학생 급식물품 구매,2,9
"부산교도소 급식용 축산물(돼지고기 등 34종) 구매 2단계(규격,가격 동시) 입찰 공고",2,9
제주출입국외국인청 보호외국인 급식용 식자재(수산물) 단가계약 소액수의 견적제출 공고,2,9
제주출입국외국인청 보호외국인 급식용 식자재(축산품) 단가계약 소액수의 견적제출 공고,2,9
제주출입국외국인청 보호외국인 급식용 식자재(공산품) 단가계약 소액수의 견적제출 공고,2,9
제주출입국외국인청 보호외국인 급식용 식자재(농산물) 단가계약 소액수의 견적제출 공고,2,9
제주출입국외국인청 보호외국인 급식용 식자재(김치류) 단가계약 소액수의 견적제출 공고,2,9
안양교도소 급식용 공산품 221종 구매,2,9
2026년도 보호외국인 급식 공급 계약,2,9
2026년도 보호외국인 급식 공급업체 선정 계약,1,24
2026년 인천공항출입국·외국인청 출국대기실 물품(간편식-빵) 납품 계약,1,24
서울남부교도소 급식용 양곡류 구매,1,1
광주교도소 양곡류(일반쌀 등 6종) 구매 소액수의 견적제출,1,1
"안동교도소 급식용 식품(공산품) 2단계 구매(규격, 가격동시) 입찰공고",1,24
정읍교도소 급식용 농산물 구매 2단계 경쟁(규격가격동시)입찰공고,1,1
강릉교도소 직영작업장 비닐포장재 구매,1,46
부산교도소 생선묵 재료 구매 2단계 입찰 공고,1,24
안양교도소 김치류 10종 구매,1,19
창원교도소 급식용 농산물(가지 등 46종) 2단계 단가계약 구매 입찰공고,1,1
2025년 보호외국인 급식용 식자재(농수산물) 입찰,1,24
서울동부구치소 급식용 양곡류 구매 소액수의계약 견적제출 안내공고,1,1
청주교도소 급식용 공산품 구매 입찰 공고,1,24
국립법무병원 2026년 1분기 급식용 공산품 81종 구매(긴급),1,24
국립법무병원 2026년 1분기 급식용 김치류 5종 구매(긴급),1,19
국립법무병원 2026년 1분기 급식용 농산물 36종 구매(긴급),1,1
국립법무병원 2026년 1분기 급식용 축산물 14종 구매(긴급),1,1
"2026년도 청주외국인보호소 보호외국인용 식자재(빵, 두유, 주스) 구매 입찰",1,24
수원구치소 급식용 공산품(냉장) 구매 2단계 경쟁 입찰,1,24
2026년도 청주외국인보호소 급식용 식자재(축산물) 구매 입찰,1,1
강원북부교도소 2026년 급식용 공산품 구매 입찰 공고,1,24
목포교도소 급식용 농산물(감자 등 55종) 구매  2단계(규격/가격 동시) 입찰,1,1
목포교도소 급식용 수산물(가자미 등 85종) 구매 2단계 (규격/가격 동시) 입찰,1,1
목포교도소 급식용 축산물(돼지고기 등 24종) 구매 2단계(규격/가격 동시) 입찰,1,1
2025 서울구치소 수용자 자비부담 과일류 구매,1,1
광주교도소 급식용 축산물(돼지고기 등 32종) 구매,1,1
춘천교도소 급식용 농산물 구매 재입찰 ,1,1
제주교도소 급식용 김치류 입찰 공고,1,19
제주교도소 급식용 축산물류 구매 2단계[규격·가격동시] 입찰 공고,1,1
제주교도소 급식용 농산물류 구매 2단계[규격·가격동시] 입찰공고,1,1
"제주교도소 급식용 공산품류 구매 2단계[규격,가격동시] 입찰공고",1,24
"진주교도소 급식용 공산품 1차 구매 2단계(규격,가격동시) 입찰",1,24
충주구치소 수용자 자비구매(과일류 9종) 구매,1,1
거창구치소 급식용 농·공·수산물 구매 2단계[규격·가격동시] 입찰 공고,1,1
천안개방교도소 식자재(김치류) 구매입찰 공고,1,19
천안개방교도소 급식용 식자재(공산품 등) 구매 입찰 공고,1,24
거창구치소 급식용 축산물 구매 2단계[규격·가격동시] 입찰 공고,1,1
보호실 물품(도시락 등) 납품 업체 선정,1,24
강릉교도소 직영작업장 포장용 박스 구매,1,46
강릉교도소 직영작업장 진미채 구매,1,19
강릉교도소 직영작업장 육포 구매,1,19
강릉교도소 직영작업장 생산물품 운송 용역,1,40
정읍교도소 급식용 김치류(포기김치 등 9종) 구매 입찰공고,1,19
정읍교도소 급식용 공산품 구매 2단계 경쟁(규격가격동시) 입찰공고,1,24
정읍교도소 급식용 축산물 구매 2단계 경쟁(규격가격동시) 입찰공고,1,1
정읍교도소 급식용 수산물 구매 2단계 경쟁(규격가격동시)입찰공고,1,1
거창구치소 수용자 자비구매물품[과일류] 입찰 공고,1,1
경북북부교정시설 급식용 김치류(6종) 전자입찰 변경공고,1,19
경북북부교정시설 급식용 김치류(6종) 입찰,1,19
서울동부구치소 수용자 자비구매물품(과일류) 입찰 공고,1,1
광주소년원 직원식당 위탁사업 업체 선정,2,29
춘천교도소 급식용 공산품 구매 입찰,2,9
춘천교도소 급식용 농산물 구매 입찰 ,2,9
2026년 수용자 자비구매물품 과일류 입찰 공고,1,1
부산구치소 급식용 축산물(닭고기 등 39종) 구매 단가계약,2,9
화성직업훈련교도소 등 수용자 자비구매물품 과일류(7종) 입찰공고,1,1
2026년 국립법무병원 피치료감호자 자비구매 물품(과일류 11종) 구매 입찰 공고 (긴급),1,1
2026년 안양소년원 직원식당 위탁운영,2,29
"수원구치소 급식용 식품(공산품, 냉장) 구매 2단계 경쟁 입찰 ",2,9
울산구치소 부식물(축산물 34종) 구매 단가 계약,2,9
부산구치소 2026년도 상반기 수용자 자비구매물품(과일류 6종) 입찰,1,1
2026년도 홍성교도소 식자재(축산물) 구매 입찰,2,9
2026년도 홍성교도소 식자재(수산물) 구매 입찰,2,9
2026년도 홍성교도소 식자재(농산물) 구매 입찰,2,9
2026년도 홍성교도소 식자재(김치류) 구매 입찰,2,9
2026년도 상반기 홍성교도소 식자재(공산품) 구매 입찰,2,9
2026년도 홍성교도소  및 서산지소 수용자 자비구매물품(과일류) 입찰 변경 공고,1,1
2026년 부산소년원 직원식당 위탁 사업 ,2,29
인천구치소 2026년도 수용자 자비구매물품 과일류 7종 구매 ,1,1
대구구치소 급식용 양곡류 소액수의 전자견적 제출 공고,2,9
대구구치소 식자재(공산품) 구매2단계 입찰(규격 가격 동시) 공고,2,9
"급식용 공산품구매 2단계 경쟁(규격,가격동시) 입찰공고",2,9
2026년도 상반기 공주교도소 식품류(김치류) 구매 입찰 공고,2,9
2026년도 상반기 공주교도소 식품류(농수축산물) 구매 2단계(규격·가격 동시)입찰 공고,2,9
2026년도 상반기 공주교도소 식품류(공산품 등) 구매 2단계(규격·가격 동시)입찰 공고,2,9
포항교도소 수용자 자비구매물품(과일류) 입찰공고,1,1
"수원구치소 급식용 식품(공산품,  냉동, 양곡) 구매 2단계 경쟁 입찰",2,9
수원구치소 급식용 수산물 구매 2단계 경쟁 입찰,2,9
수원구치소 급식용 농산물 구매 2단계 경쟁 입찰,2,9
소망교도소 급식재료(축수산물)구매 입찰,2,9
법무부남부보라미어린이집 식자재 납품업체 선정,2,9
화성직업훈련교도소 급식용 공산품 구매,2,9
화성직업훈련교도소 급식용 냉동식품류 구매,2,9
2026년 수용자 자비구매물품(과일류)입찰,1,1
화성직업훈련교도소 급식용 축산물 구매,2,9
수용자 자비물품(과일류7종) 입찰 공고,1,1
소망교도소 급식재료(농산물) 구매 입찰 ,2,9
소망교도소 급식재료(농산물) 구매 입찰 공고,2,9
천안교도소 수용자 자비구매물품(과일류) 입찰 공고,1,1
화성직업훈련교도소 직원 및 수용자 급식용 김치류 구매,2,9
장흥교도소 급식용 농산물(가지 등 72종) 구매 입찰,2,9
장흥교도소 급식용 축산물(닭가슴살 등 30종) 구매 입찰  ,2,9
부산교도소 2026년도 수용자 자비구매물품[과일류 7종] 입찰 공고,1,1
흥교도소 급식용 수산물(냉동가오리 등 75종) 구매 입찰  ,2,9
경북북부교정시설 급식용 절임류(규격가격동시) 입찰,2,9
장흥교도소 급식용 공산품(가공유 등 347종) 구매 입찰 ,2,9
수용자 자비구매물품(과일류) 입찰공고,1,1
경북북부교정시설 급식용 공산품 구매 2단계(규격가격동시) 입찰 ,2,9
2026년 수용자 자비구매물품(과일류) 입찰 공고,1,1
의정부교도소 급식용 축산물 구매,2,9
장흥교도소 급식용 김치류 구매입찰,2,9
2026년 경북북부 5개 교정시설  수용자 자비구매물품[과일류8종]입찰공고,1,1
2026년도 통영구치소 수용자 자비구매물품(과일류)입찰 공고,1,1
창원교도소 수용자 자비구매물품(과일류) 구매 입찰공고,1,1
창원교도소  급식용 공산품(가스오부시 등 321종)  2단계 단가계약 입찰공고,2,9
창원교도소 급식용 축산물(닭고기 등 33종) 2단계 단가계약 입찰공고,2,9
대구구치소 수용자 자비구매물품(과일류) 입찰공고,1,1
의정부교도소 수용자 자비구매물품(과일류) 입찰 공고,1,1
2026년 순천교도소 등 수용자 자비구매물품(과일류) 입찰공고,1,1
2026년도 상반기 수용자 자비구매물품 과일류(6종) 입찰 공고,1,1
"천안교도소 급식용 공산품 2단계(규격, 가격 동시) 입찰 공고",2,9
천안교도소 생선묵 부재료 구입 입찰 공고,2,9
천안교도소 생선묵 주재료(냉동연육) 입찰,2,9
부산구치소 급식용 공산품 및 양곡 구매 2단계,2,9
군산교도소 급식용 김치류(배추김치 등 8종) 구매 입찰 공고,2,9
광주교도소 급식용 수산물(가오리채 등 65종) 구매,2,9
밀양구치소 수용자 자비구매물품(과일류) 입찰 공고,1,1
서울남부교도소 수용자 자비구매물품(과일) 입찰 공고,1,1
포항교도소 급식용 수산물 구매입찰,2,9
부산구치소 급식용 김치류(배추김치 등 13종) 구매 단가계약,2,9
2026년도 대구교도소 수용자 자비구매물품(과일류) 입찰 공고,1,1
전주교도소 급식용 축산물 구매2단계 입찰 공고,2,9
전주교도소 급식용 공산품 구매 2단계 입찰 공고,2,9
2026년도 수용자 자비구매물품(과일류) 입찰 공고,1,1
부산구치소 급식용 수산물(가자미 등 76종) 구매 2단계 단가계약,2,9
서울남부구치소 수용자 자비구매물품(과일류 7종) 구매,1,1
서울동부구치소 급식용 김치류 구매입찰,2,9
"김천소년교도소 부식물(공산물, 수산물) 구매계약 입찰 공고",2,9
경북북부제1교도소 급식용 공산품 구매 2단계(규격·가격 동시) 입찰 공고,2,9
울산구치소 부식물(수산물 및 절임류) 단가 계약,2,9
대전교도소 등 수용자 자비구매물품  과일류(10종)  입찰공고,1,1
"서울남부교도소 급식용 수산물 구매 2단계 경쟁(규격,가격동시) 입찰 공고",2,9
서울구치소 급식용 공산품 구매,2,9
안동교도소 급식용 식품(김치류) 구매 입찰 공고,2,9
2026년 출입국외국인지원센터 식자재 납품업체 선정,2,9
경북북부교정시설 급식용 축산물 구매 2단계 입찰 공고,2,9
의정부교도소 급식용 수산물 구매,2,9
의정부교도소  급식용 공산품 구매,2,9
목포교도소 급식용 배추김치(포기김치 등 2종) 구매입찰,2,9
여주교도소 급식용 공산품 구매 입찰 공고,2,9
여주교도소 급식용 냉동식품 구매입찰,2,9
대구교도소 식자재(절임·빵·라면류) 구매 2단계 입찰 공고,2,9
대구교도소 식자재(김치류) 구매 2단계 입찰 공고,2,9
대구교도소 식자재[유제품] 구매 2단계 입찰 공고,2,9
대구교도소 식자재[양곡류] 소액수의 견적제출 공고,2,9
대구교도소 식자재[수산물] 구매 2단계 입찰 공고,2,9
대구교도소 식자재[농산물] 구매 2단계 입찰 공고,2,9
서울동부구치소 급식용 두부류 구매입찰,2,9
"서울남부구치소 급식용 수산물 78종 구매 2단계(규격,가격동시) 입찰 공고",2,9
통영구치소 급식용(공산품)구매 입찰 공고,2,9
의정부교도소 급식용 김치류 구매,2,9
광주소년원 학생식당 부식 구매,2,9
의정부교도소 급식용 가공식품 구매,2,9
해남교도소 급식용 김치류 5종 구입공고,2,9
2026년도 수용자 자비구매물품 과일류(사과 등 9종) 입찰,2,9
광주교도소 급식용 농산물(가지 등 59종) 구매,2,9
포항교도소 급식용 공산품 구매 입찰,2,9
"군산교도소 급식용 공산품(간장 등 213종) 구매 관련 규격, 가격 동시 입찰 공고",2,9
군산교도소 급식용 축산물(식육류 등 26종) 구매 관련 규격 · 가격 동시 입찰 공고,2,9
"김천소년교도소 부식물(농산물, 양곡류) 구매계약 입찰 공고",2,9
김천소년교도소 부식물(김치류) 구매계약 입찰 공고,2,9
"김천소년교도소 부식물(공산품, 수산물) 구매계약 입찰 공고",2,9
"순천교도소 수산물 2단계 경쟁(규격,가격 동시) 입찰",2,9
"순천교도소 축산물 2단계 경쟁(규격,가격 동시) 입찰 공고",2,9
"순천교도소 농산물 2단계 경쟁(규격,가격 동시) 입찰",2,9
부산구치소 급식용 농산물(감자 등 70종) 구매 2단계,2,9
전주교도소 급식용 김치류(4종) 구매 입찰 공고,2,9
"서울남부구치소 급식용 공산품 387종 구매2단계(규격,가격동시)입찰 공고",2,9
군산교도소 급식용 수산물(가자미 등 52종) 구매 관련 규격 · 가격 동시 입찰 공고,2,9
서울동부구치소 급식용 절임류 구매입찰,2,9
군산교도소 급식용 농산물(감자 등 36종) 구매 관련 규격 · 가격 동시 입찰 공고,2,9
군산교도소 급식용 유제품(우유 등 10종) 구매 관련 2단계 경쟁 등의 입찰 공고,2,9
안동교도소 급식용 식품(축산물) 구매 2단계(규격ㆍ가격 동시) 입찰 공고,2,9
2025년 하반기 부산소년원 학생식당 부식 구매 건,2,9
진주교도소 급식용 김치류 2차 구매(적격심사 제한경쟁) 입찰,2,9
안동교도소 급식용 식품(수산물) 구매 2단계(규격ㆍ가격 동시) 입찰 공고,2,9
"안동교도소 급식용 식품(농산물) 2단계(규격, 가격 동시) 구매 입찰 공고",2,9
여주교도소 급식용 축산물 구매 입찰공고,2,9
목포교도소 공산품(간장 등 151종)  구매 2단계(규격/가격 동시) 입찰,2,9
춘천교도소 양곡(일반쌀) 구매 소액수의,2,9
인천구치소 급식용 공산품 구매 입찰 변경공고,2,9
공주교도소 장류작업장 수입산 건고추 구매 입찰 공고,2,9
경주교도소 급식용 축산물 구매(규격가격동시입찰) 규격,2,9
울산구치소 부식물(공산품 2차) 단가 계약,2,9
상주교도소 2025년 하반기 급식용 김치류 구매 입찰 공고,2,9
"상주교도소 2025년 하반기 급식용 축산물 구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"상주교도소 2025년 하반기 급식용 수산물 구매 2단계(규격, 가격 동시) 입찰 공고",2,9
"상주교도소 2025년 하반기 급식용 농산물 구매 2단계(규격,  가격 동시) 입찰 공고",2,9
대구교도소 식자재[공산품(양념소스류)] 구매 2단계 입찰 공고,2,9
대구교도소 식자재(축산물) 구매 2단계 입찰 공고,2,9
대구교도소 식자재(농산물) 구매 2단계 입찰 공고,2,9
"상주교도소 2025년 하반기 급식용 공산품 구매  2단계(규격, 가격 동시) 입찰 공고",2,9
대구교도소 식자재[공산품(냉장냉동식품류)] 구매 2단계 입찰 공고,2,9
부산교도소 급식용 김치류(배추김치 등 9종) 구매 입찰,2,9
"서울남부교도소 급식용 축산물 구매 2단계경쟁(규격,가격)동시 입찰공고",2,9
국립법무병원 2025년 4분기 급식용 축산물 12종 구매(긴급),2,9
국립법무병원 2025년 4분기 급식용 농산물 40종 구매(긴급),2,9
국립법무병원 2025년 4분기 급식용 김치류 5종 구매(긴급),2,9
국립법무병원 2025년 4분기 급식용 공산품 92종 구매 (긴급),2,9
대구소년원 학생식당 부식 구매,2,9
경북북부제1교도소 급식용 축산물 구매 2단계(규격·가격 동시) 입찰 공고,2,9
경북북부제1교도소 급식용 농산물 구매 2단계(규격·가격 동시) 입찰 공고,2,9
수원구치소 급식용 김치류 10종 구매 입찰,2,9
"서울남부구치소 급식용 유제품류 5종 구매2단계(규격,가격동시)입찰 공고",2,9
경북북부교정기관 급식용 농산물 구매 2단계(규격/가격 동시) 입찰 공고,2,9
통영구치소 급식용(농수축산물)구매 입찰,2,9
2025년  부산소년원 하반기 학생식당 양곡 구매  건,2,9
통영구치소 급식용(김치류)구매 입찰,2,9
경북북부교정시설 급식용 양곡류 구매 입찰 공고,2,9
청주교도소 급식용 축산물 구매 입찰 공고,2,9
서울동부구치소 급식용 축산물 구매입찰,2,9
2025년도 전국 교정기관 비상식량(건빵) 구매,2,9
대구구치소 식자재[축산물] 구매 2단계 입찰[가격 규격 동시] 공고,2,9
대구구치소 식자재[농산물] 구매 2단계 입찰[규격 가격 동시] 공고,2,9
대구구치소 식자재[수산물] 구매 2단계 입찰[규격‧가격 동시] 공고,2,9
순천교도소  급식용 김치류  3종 구매 입찰 공고,2,9
서울소년원 학생식당 부식류(240종) 구매,2,9
광주교도소 급식용 공산품(가쓰오부시 등 117종) 구매,2,9
광주교도소 급식용 공산품(감자 등 95종) 구매,2,9
광주교도소 급식용 김치(포기김치 등 3종) 구매,2,9
경주교도소 자비구매물품(과일류)입찰 공고,1,19
"진주교도소 급식용 축산물 2차 구매(2단계, 규격 가격 동시) 입찰 공고",2,9
"진주교도소 급식용 공산품 4차 구매(규격,가격 동시) 입찰 공고",2,9
