공고명,사업요약
(257132-F) M-MOOC 스튜디오 방송장비 교체사업(리스자산),M-MOOC 스튜디오 방송장비 교체(리스)
(25F001-G) 25년 교육정보종합시스템 SW 유지보수용역,교육정보종합시스템 SW 유지보수
(25F004-G)AI기반해안경계작전체계SW시범도입감리용역,AI 해안경계작전체계 SW 도입 감리
(25F006-G)국방교육훈련관리체계(DTMS)SW개발감리용역,국방교육훈련관리체계 SW개발 감리
(25F007-G) 25년 행정업무지원체계 유지보수 및 기능개선사업,행정업무지원체계 유지보수·기능개선
(25F011-G)25년 육군 모바일업무수행체계유지보수사업,육군 모바일업무수행체계 유지보수
(25F017-G) 숙련된 정비기술 디지털 자산화 기술실증,숙련 정비기술 디지털 자산화 실증
(25F021-G) 객체식별 AI 모델 신뢰성 검증 기술 실증,객체식별 AI 모델 신뢰성 검증 실증
(25F023-I) GOP 및 해강안 소초 찾아가는 문화공연,GOP·해강안 소초 찾아가는 문화공연
(25F029-I) 2025년 육군 기획공연 제작 및 공연 용역,육군 기획공연 제작·공연
(25F031-G) 육군 국방망 응용체계 통합사업 ISP,육군 국방망 응용체계 통합 ISP
(25F034-G)해안경계통합시스템 선박연동정보 확장기술 실증,해안경계통합시스템 선박연동정보 확장 실증
(25F036-I) 25년 문화예술단체 대대급 부대 순회공연,문화예술단체 대대급 부대 순회공연
(25F042-G) AI 적용 사건·사고 예보 기술 실증사업,AI 사건·사고 예보 기술 실증
(25F045-G)26~27년 KCTC 과학화전투훈련체계 유지보수,KCTC 과학화전투훈련체계 유지보수
(25F047-G) AI기반 경계작전체계 라이다 기술 실증,AI 경계작전체계 라이다 기술 실증
(25F048-G)26~27년 과학화훈련예산 도입장비 유지보수,과학화훈련 도입장비 유지보수
(25F050-G) 26~27년 분석용모델 통합유지보수 용역사업,분석용모델 통합유지보수
(25F052-G) 육군 체력단련장 통합관리시스템 고도화 감리용역,육군 체력단련장 통합관리시스템 고도화 감리
(25F053-G)AI기반 경계작전체계 통합관제 기술 2단계 실증,AI 경계작전체계 통합관제 2단계 실증
(25F054-G) 육군 통합인증관리(SSO) 고도화 사업,육군 통합인증관리(SSO) 고도화
(25F056-G)사단급 실전적과학화훈련장 시스템구축사업,사단급 실전적과학화훈련장 시스템 구축
(25F057-G) 26년 지상군 자원소요분석모델 유지보수용역사업,지상군 자원소요분석모델 유지보수
(25F058-G)인사상담용 지능형 콜봇 및 가이드 챗봇 유지보수,인사상담 지능형 콜봇·챗봇 유지보수
(25F088-A) XR기반지뢰교육 훈련체계 2차 선행연구 용역,XR 지뢰교육 훈련체계 선행연구
(25F128-I) 25년 육군 모범간부 제주도 견학 대행용역,육군 모범간부 제주도 견학 대행
"(25F138-B)지상군페스티벌 육군홍보관 설치,철거 용역",지상군페스티벌 육군홍보관 설치·철거
(25F158-I)25년보급부대근무분야민간위탁용역(수성),보급부대 근무분야 민간위탁(수성)
(25F167-I)25년보급부대근무분야민간위탁용역(원주),보급부대 근무분야 민간위탁(원주)
(25F181-B) 26년 육군MS센터 전문분석관 운용사업,육군MS센터 전문분석관 운용
(25G003-H)25~26합동전파관리체계개선및유지관리용역,합동전파관리체계 개선·유지관리
(25G013-H)생성형AI적용내부망정보검색및요약기술실증,생성형AI 내부망 정보검색·요약 실증
(25G022-H)생성형AI 적용 내부망OO정보 분석기술 실증,생성형AI 내부망 정보 분석 실증
(25G039-H)모바일 기반 전술지리공간정보 기술 실증,모바일 전술지리공간정보 기술 실증
(25G042-H)생성형AI적용KJCCS정보검색및운영기술실증,생성형AI KJCCS 정보검색·운영 실증
(25G043-H)AI 객체식별 기반 지리공간분석 기술 실증,AI 객체식별 지리공간분석 실증
(25G044-H)수술실운영 통합관제 및 정보제공 기술실증,수술실운영 통합관제·정보제공 실증
(25G044-I) 25년 한국 안보·역사·문화탐방 대행용역,한국 안보·역사·문화탐방 대행
(25G045-H)26-27년 학사관리시스템 유지보수 용역,학사관리시스템 유지보수
(25G052-H)26~27년 워게임 연동체계(KSIMS) 유지보수 용역,워게임 연동체계(KSIMS) 유지보수
(25G053-H)26-27년상호운용성지원시스템통합유지보수,상호운용성지원시스템 통합유지보수
(25G056-H)2627년 실시간 스펙트럼탐지체계 유지보수,실시간 스펙트럼탐지체계 유지보수
(25G059-H)26-27년 지휘통신 신속대응 장비 유지보수 용역,지휘통신 신속대응 장비 유지보수
(25G061-H)26-27년 스펙트럼측정분석장비 유지보수 용역,스펙트럼측정분석장비 유지보수
(25G151-A) 사이버네트워크 작전AI활용방안 연구 용역,사이버네트워크 작전 AI 활용방안 연구
(25G185-B) 26년 분석모델 전문분석관 운용 용역,분석모델 전문분석관 운용
(25S1001-B9)XR기반 지뢰훈련 교육훈련체계 구축,XR 지뢰훈련 교육훈련체계 구축
(25S1001-C3) 대대급 합성훈련환경(STE) 체계구축사업,대대급 합성훈련환경(STE) 체계구축
(25S2001-C1) 25-N-통합기상해양정보체계 교체(리스자산),통합기상해양정보체계 교체(리스)
(25S2001-C1)25-N-통합기상해양정보체계 교체(리스자산),통합기상해양정보체계 교체(리스)
(25S2001-C2) 스마트 항공기지 시범부대 구축 사업(리스자산),스마트 항공기지 시범부대 구축(리스)
(25SA001-B5)AI기반 해안경계작전체계(0작전사)(1차),AI 해안경계작전체계(0작전사) 1차
(2F062-A)FM무전기 회로카드 정비기술 개발 연구용역,FM무전기 회로카드 정비기술 개발 연구
(2인이상 수의견적 공고) 농업기술센터 청사이전 부지조성사업,농업기술센터 청사이전 부지조성
"(3-3차)소모품(Tedlar PVF film, 비커 등 153종) 구매",소모품(Tedlar PVF film 등 153종) 구매
(4-11차)건축자재 사전적합제도운영 등 생활환경연구과 물품 구매,건축자재 사전적합제도 등 물품 구매
(4-2차)국가표준을 위한 동위원소 표준물질， 분석용 컬럼 및 실험소모품 등 83종,동위원소 표준물질·컬럼 등 83종 구매
(NFS2021MED09 위탁01) 신원불상 변사자에 대한 유전체 기반 행태·생리·유전학적 특징 분석 및 신원 특정에의 활용,변사자 유전체 기반 신원 특정 분석
(NFS2021MED09 위탁02) 머신러닝 기반 얼굴예측 방법 개발,머신러닝 기반 얼굴예측 방법 개발
(NFS2023MED07) 사후전산화단층촬영 영상을 활용한 인공지능 기반 뇌출혈 검출 보조 시스템 개발,AI 기반 뇌출혈 검출 보조 시스템 개발
(NFS2023MED08) 다중 바이오마커 기반 사망의 종류 판단 보조 인자 기술 개발,다중 바이오마커 사망종류 판단 인자 개발
(NFS2024DNA03) 디지털 PCR 기술을 이용한 DNA 감식 고도화,디지털 PCR DNA 감식 고도화
(NFS2024DNA03)친족관계 확인 연구를 위한 Whole Genome Sequence(WGS) 분석 용역,친족관계 확인 WGS 분석
(NFS2025C001) 국과수 감정 품질 향상 방안-국제 표준 도입을 통한 숙련도시험운영기관 부합화 연구,국과수 감정 품질향상 국제표준 부합화 연구
(NFS2025DNT02) 기계학습 기반 신종 마약류 및 대사체 탐색 프로세스 구축 연구,기계학습 신종마약·대사체 탐색 프로세스 연구
(NFS2025DTB01) 블록체인 기반 디지털증거 원본성 확보 방법 연구,블록체인 디지털증거 원본성 확보 연구
(NFS2025DTB03) 모바일 기반 사건 현장 3차원 재구성 기술 개발,모바일 사건현장 3차원 재구성 기술 개발
(NFS2025FSA02) 화학 잔여물 분석 및 반응성 유기 발광체 기반 고감도 센터 개발,화학 잔여물 분석 고감도 센서 개발
(NFS2025FSA04) 상해 및 거동 해석모델 개발 ,상해·거동 해석모델 개발
(NFS2025FSA05) 화재현장 자동화 재구성 및 VR 실감 수사 기술 연구,화재현장 자동 재구성·VR 수사 기술 연구
(NFS2025MED03) 수중시체에서 시행하는 규조류 검사의 고도화를 위한 유전자 표지 개발,수중시체 규조류 검사 유전자표지 개발
(P.Q 후 가격입찰)이천시 반려동물 테마파크 조성사업 도시관리계획(신설) 및 실시설계 용역,이천 반려동물 테마파크 도시관리계획·실시설계
(P.Q후 가격입찰)이천시 반려동물 테마파크 조성사업 도시관리계획(신설) 및 실시설계 용역,이천 반려동물 테마파크 도시관리계획·실시설계
(PQ 및 TP 후 가격입찰) 인천신항 진입도로 지하차도 건설(지하차도) 기본 및 실시설계 용역,인천신항 진입도로 지하차도 기본·실시설계
(PQ 후 가격입찰) 랜드마크시티 1호 수변공원(2단계) 조성공사 건설사업관리용역(긴급),랜드마크시티 1호 수변공원 조성 건설사업관리
(PQ 후 가격입찰) 랜드마크시티 3호 수변공원 조성공사 건설사업관리용역,랜드마크시티 3호 수변공원 조성 건설사업관리
(PQ 후 가격입찰) 율촌제1산단 정배수장 현대화사업 전기공사 감리  용역 전자입찰 공고,율촌제1산단 정배수장 현대화 전기 감리
(PQ 후 가격입찰) 인천신항 진입도로 지하차도 건설(고가차도) 기본 및 실시설계용역,인천신항 진입도로 지하차도(고가) 실시설계
(PQ 후 가격입찰) 청라의료복합타운 남측도로 개설공사(중1-468호선) 외 1건 통합건설관리용역,청라의료복합타운 남측도로 통합건설관리
(PQ 후 가격입찰) 해돋이 녹도교 설치공사 건설사업관리용역,해돋이 녹도교 설치 건설사업관리
(PQ 후 가격입찰)국도4호선 증약~신상 위험도로 개선공사 등 2개소 건설사업관리 엔지니어링사업,국도4호선 증약~신상 위험도로 개선 사업관리
(PQ 후 가격입찰)인천글로벌캠퍼스 학생기숙사 증축공사 시공단계 감독권한대행 등 건설사업관리용역,인천글로벌캠퍼스 학생기숙사 증축 건설사업관리
(PQ 후 가격입찰)인천신항 진입도로 지하차도 건설(지하차도) 전기공사 설계용역,인천신항 지하차도 전기공사 설계
(PQ후 가격입찰) 청라의료복합타운 남측도로 개설공사(중1-468호선)외 1건 통합건설관리용역,청라의료복합타운 남측도로 통합건설관리
(PQ후 가격입찰)율촌제1산단 공공폐수처리시설 설치사업(1-2단계) 전기공사 감리 용역  입찰 공고(긴급),율촌제1산단 공공폐수처리시설 전기 감리
(가격입찰) 당포항 정비공사 사후환경영향조사용역(공사시)_긴급,당포항 정비 사후환경영향조사
(가야고분) 2025년 국립가야문화유산연구소 수장고 소독처리,국립가야문화유산연구소 수장고 소독처리
(가야고분) 합천 성산리 유적 출토 유물 정밀실측·전산화,합천 성산리유적 출토유물 정밀실측·전산화
(가야고분)2025년 가야 역사문화자원 디지털 아카이브 구축,가야 역사문화자원 디지털 아카이브 구축
"(가야고분)가야 유적 발굴조사 기록물 디지털화, 복제 용역",가야 유적 발굴조사 기록물 디지털화·복제
"(가야고분)창녕 교동과 송현동 6호분 출토 금동관, 은제허리띠 도면 제작(2차)",창녕 교동·송현동 6호분 출토유물 도면 제작
(가야고분)함안 말이산 8호분 말 갑옷 타격 실험 및 영상 제작,함안 말이산 8호분 말갑옷 타격실험·영상 제작
"(가야왕성)『발굴, 기록, 과학의 만남: 김해 봉황동 유적을 바라보는 다양한 시선』학술심포지엄 행사",김해 봉황동 유적 학술심포지엄
(가야왕성)김해 봉황동 유적 발굴 현장 갑바 재활용 성과품 영상 제작,김해 봉황동 발굴현장 갑바 재활용 영상 제작
(가축방역) 바이러스질병과 중합효소연쇄반응(PCR)최적화제품 1대 구입,바이러스질병 PCR 최적화제품 구입
(가칭)청렴윤리 및 국민권익보호 교육 지원법 제정안 마련 연구용역,청렴윤리·국민권익보호 교육지원법 연구
(가칭)청렴윤리 및 국민권익위원회 교육 지원법 제정안 마련 연구용역,청렴윤리·국민권익위 교육지원법 연구
(감리)2025년 산사태정보시스템 고도화(디지털 사면통합 산사태정보시스템 구축(2차)),산사태정보시스템 고도화 감리
"(강동구, 송파구) 국가유공자 등의 재가복지서비스 위탁용역 계약",강동·송파 국가유공자 재가복지서비스 위탁
"(강서구, 양천구) 국가유공자 등의 재가복지서비스 위탁용역 계약",강서·양천 국가유공자 재가복지서비스 위탁
(건축)「교과서 속 건축문화유산 교구재」 활용 교육자료 제작,교과서 속 건축문화유산 교구재 교육자료 제작
(고고-1)한국고고학사전 온라인 서비스 개선을 위한 기반 데이터 편찬,한국고고학사전 온라인 서비스 데이터 편찬
(고고-2) 「2025년 세계의 고고학 국제학술대회」 대행 용역,세계의 고고학 국제학술대회 대행
(고고-2) 「2026년 말의 해(가제)」 특별전시 기본계획 수립 용역,말의 해 특별전시 기본계획 수립
"(고고-3)「중서부지역, 새로운 자료와 새로운 관점」대행 용역",중서부지역 새로운 자료와 관점 대행
(고시금액 이상)2025년 중앙보훈병원 자체구매 검사재료 단가계약,중앙보훈병원 검사재료 단가계약
(공공요금)2025년 농림축산검역본부 공용차량 자동차보험 가입,농림축산검역본부 공용차량 자동차보험
(공사비)2025년 영종도 동물검역계류장 계류사 지붕도장공사(동축산물),영종도 동물검역 계류사 지붕도장
(공사비)사육시설 고도화를 위한 순환여과양식시스템(RAS) 구축공사(전기)(아열대-1345),순환여과양식시스템(RAS) 구축(전기)
(공사비)영종도 동물검역계류장 계류사 출입문교체공사(동축산물),영종도 동물검역 계류사 출입문교체
(공사비)외해동 히트펌프 구매 및 설치(아열대-3217),외해동 히트펌프 구매·설치
(관급)34.안동시 서후면 교리 지내 도로개설공사_레미콘2,안동 서후 교리 도로개설(레미콘2)
(관급)개질아스콘(3.진남2교 등 2개소 교면포장 보수공사),개질아스콘(진남2교 등 2개소 교면포장)
(관급)개질아스콘(34. 문경 산양 반곡리 등 6개소 포장도 정비공사),개질아스콘(문경 산양 등 6개소 포장정비)
(관급)개질아스콘(34. 예천 호명 직산리 등 7개소 포장도 정비공사),개질아스콘(예천 호명 등 7개소 포장정비)
(관급)개질아스콘(35. 봉화 명호 관창리 등 11개소 포장도 정비공사),개질아스콘(봉화 명호 등 11개소 포장정비)
(관급)개질아스콘(문경 호계 우로리 등 3개소 포장도 정비공사),개질아스콘(문경 호계 등 3개소 포장정비)
(관급)개질아스콘(영주 문정동 등 4개소 포장도 정비공사),개질아스콘(영주 문정동 등 4개소 포장정비)
(관급)국도17호선 완주 고산 등 설해대비 시설물 보수공사-눈및얼음융해장치,국도17호선 완주 설해대비 융해장치
(관급)국도17호선 완주 등 2개군 방호울타리 정비공사-3단 충격흡수식 가드레일 지주 지지력 보강재,국도17호선 완주 방호울타리 보강재
(관급)국도17호선 완주 상관 등 제설창고 신축공사-눈및얼음융해장치,국도17호선 완주 제설창고 융해장치
(관급)국도1호선 솔튼터널A2+1.402~솔튼터널A2+2.889 등 2개소 포장도 보수공사-개질아스콘,국도1호선 솔튼터널 등 포장보수 개질아스콘
(관급)국도1호선 오성교A2~용호교A1 등 7개소 포장도 보수공사-개질아스콘,국도1호선 오성교 등 포장보수 개질아스콘
(관급)국도1호선 익산 왕궁 제설창고 등 설해대비 시설물 보수공사-눈및얼음융해장치,국도1호선 익산 제설창고 융해장치
(관급)국도21호선 중흥육교A2~군산시B(앞) 등 12개소 포장도 보수공사-개질아스콘,국도21호선 중흥육교 등 포장보수 개질아스콘
(관급)국도26호선 등용1교A2~신교A1 등 9개소 포장도 보수공사-개질아스콘,국도26호선 등용1교 등 포장보수 개질아스콘
(관급)국도26호선 진안 등 2개소 방호울타리 정비공사-3단 충격흡수식 가드레일 지주 지지력 보강재,국도26호선 진안 방호울타리 보강재
(관급자재) 2025년 익산청 교통정체 잦은곳 ITS 확대구축사업(전주~군산) - 교통관제시스템,익산청 ITS 확대(전주~군산) 교통관제시스템
(관급자재) 2025년 익산청 교통정체 잦은곳 ITS 확대구축사업(전주~군산) - 교통정보전광판 금속기둥,익산청 ITS 확대(전주~군산) 전광판 금속기둥
(관급자재) 2025년 익산청 교통정체 잦은곳 ITS 확대구축사업(화순~광주 등 2개구간) - 교통관제시스템,익산청 ITS 확대(화순~광주) 교통관제시스템
(관급자재) 2025년 익산청 교통정체 잦은곳 ITS 확대구축사업(화순~광주 등 2개구간) - 교통정보전광판 금속기둥,익산청 ITS 확대(화순~광주) 전광판 금속기둥
(관급자재) 2025년 익산청 국도ITS 구축 공사(전남 권역) - 교통정보전광판 금속기둥,익산청 국도ITS(전남) 전광판 금속기둥
(관급자재) 2025년 익산청 국도ITS 구축 공사(전남권역) - 교통정보전광판,익산청 국도ITS(전남권역) 교통정보전광판
(관급자재) 2025년 익산청 국도ITS 구축 공사(전남권역) - 영상감시장치 금속기둥,익산청 국도ITS(전남) 영상감시장치 금속기둥
(관급자재) 2025년 익산청 국도ITS 구축 공사(전남권역) - 제어함체부 원격단말장치(RTU),익산청 국도ITS(전남) 원격단말장치(RTU)
(관급자재) 2025년 익산청 국도ITS 구축공사(전북권역) - 영상감시장치 금속기둥,익산청 국도ITS(전북) 영상감시장치 금속기둥
(관급자재) 무안 현경-해제 도로시설개량공사(2차)-순환골재 ,무안 현경-해제 도로개량 순환골재
(관급자재) 순천 벌교-주암(3-2공구) 도로확장공사-레미콘 ,순천 벌교-주암 도로확장 레미콘
(관급자재)2025년 익산청 국도ITS 구축 공사(전북권역)-제어함체부 원격단말장치(RTU),익산청 국도ITS(전북) 원격단말장치(RTU)
(관급자재)2025년 익산청 국도ITS 구축공사(1권역)-교통정보전광판,익산청 국도ITS(1권역) 교통정보전광판
(관급자재)2025년 익산청 국도ITS 구축공사(1권역)-교통정보전광판 금속기둥,익산청 국도ITS(1권역) 전광판 금속기둥
(관급자재)2025년 익산청 국도ITS 구축공사(1권역)-영상감시장치 금속기둥,익산청 국도ITS(1권역) 영상감시장치 금속기둥
(관급자재)2025년 익산청 국도ITS 구축공사(1권역)-제어함체부 원격단말장치(RTU),익산청 국도ITS(1권역) 원격단말장치(RTU)
(관급자재)2025년 익산청 국도ITS 구축공사(2권역)-교통정보전광판,익산청 국도ITS(2권역) 교통정보전광판
(관급자재)2025년 익산청 국도ITS 구축공사(2권역)-교통정보전광판 금속기둥,익산청 국도ITS(2권역) 전광판 금속기둥
(관급자재)2025년 익산청 국도ITS 구축공사(2권역)-영상감시장치 금속기둥,익산청 국도ITS(2권역) 영상감시장치 금속기둥
(관급자재)2025년 익산청 국도ITS 구축공사(2권역)-제어함체부 원격단말장치(RTU),익산청 국도ITS(2권역) 원격단말장치(RTU)
(관급자재)2025년 익산청 국도ITS 구축공사(3권역)-교통정보전광판,익산청 국도ITS(3권역) 교통정보전광판
(관급자재)2025년 익산청 국도ITS 구축공사(3권역)-교통정보전광판 금속기둥,익산청 국도ITS(3권역) 전광판 금속기둥
(관급자재)2025년 익산청 국도ITS 구축공사(3권역)-영상감시장치 금속기둥,익산청 국도ITS(3권역) 영상감시장치 금속기둥
(관급자재)2025년 익산청 국도ITS 구축공사(3권역)-제어함체부 원격단말장치(RTU),익산청 국도ITS(3권역) 원격단말장치(RTU)
(관급자재)곡성 석곡IC-겸면(2공구) 도로시설개량공사-순환골재  ,곡성 석곡IC-겸면 도로개량 순환골재
(관급자재)곡성 석곡IC-겸면(2공구) 도로시설개량공사-잡석 ,곡성 석곡IC-겸면 도로개량 잡석
(관급자재)곡성 석곡IC-겸면(2공구) 도로시설개량공사-혼합골재 ,곡성 석곡IC-겸면 도로개량 혼합골재
(관급자재)국도27호선 임실 운종교차로 개선공사-순환골재,관급 임실 운종교차로 개선-순환골재
(관급자재)국도77호선 여수 화태-백야 도로건설공사(1공구)-윈드슈,관급 여수 화태-백야1공구-윈드슈
(관급자재)국도77호선 여수 화태-백야(1공구) 도로건설공사-포트받침(장기계속(총액)),관급 여수 화태-백야1공구-포트받침
"(관급자재)국도77호선 여수 화태-백야(2공구) 도로건설공사-포트받침(장기신규(1차), 수의(총액)) ",관급 여수 화태-백야2공구-포트받침
"(관급자재)무주-설천 도로확장공사-교량받침(장기신규(1차), 총액)  ",관급 무주-설천 도로확장-교량받침
(관급자재)벌교-주암(3-1공구) 도로확장공사-레미콘(총액),관급 벌교-주암3-1공구-레미콘
(관급자재)벌교-주암(3-2공구) 도로확장공사-레미콘(총액),관급 벌교-주암3-2공구-레미콘
(관급자재)서수-평장(2공구) 국대도 건설공사-혼합골재(소액),관급 서수-평장2공구-혼합골재
(관급자재)석곡IC-겸면(1공구) 도로시설개량공사-골재(잡석),관급 석곡IC-겸면1공구-잡석골재
(관급자재)석곡IC-겸면(1공구) 도로시설개량공사-순환골재(소액),관급 석곡IC-겸면1공구-순환골재
(관급자재)석곡IC-겸면(1공구) 도로시설개량공사-혼합골재(소액),관급 석곡IC-겸면1공구-혼합골재
(관급자재)성수-진안(3공구) 도로시설개량공사-레미콘(소액),관급 성수-진안3공구-레미콘
(관급자재)순천 벌교-주암(3-1공구) 도로확장공사-레미콘(총액),관급 순천 벌교-주암3-1공구-레미콘
(관급자재)신안 압해 신장-복용 도로시설개량공사-반사형방음판 ,관급 신안 압해 신장-복용-반사형방음판
"(관급자재)압해-화원 도로건설공사-교량받침(장기신규(1차),총액)",관급 압해-화원 도로건설-교량받침
(관급자재)압해-화원(1공구) 도로건설공사-P.P매트(소액),관급 압해-화원1공구-P.P매트
"(관급자재)압해-화원(1공구) 도로건설공사-레미콘(목포권,총액)",관급 압해-화원1공구-레미콘(목포)
(관급자재)압해-화원(1공구) 도로건설공사-레미콘(소액),관급 압해-화원1공구-레미콘
(관급자재)완주 화산-운주 도로시설개량 통신공사-CCTV 및 영상유고설비,관급 완주 화산-운주 통신-CCTV
(관급자재)완주 화산-운주 도로시설개량 통신공사-라디오재방송 설비,관급 완주 화산-운주-라디오재방송설비
(관급자재)용진-우아(1공구) 국대도 건설공사-레미콘(소액),관급 용진-우아1공구-레미콘
(관급자재)용진-우아(2공구) 국대도 건설공사-순환골재(소액),관급 용진-우아2공구-순환골재
(관급자재)익산시관내 국도대체우회도로(서수-평장1) 건설공사-레미콘 ,관급 익산 서수-평장1 우회도로-레미콘
(관급자재)익산시관내 국도대체우회도로(서수-평장2) 건설공사(6차분)-혼합골재(총액) ,관급 익산 서수-평장2 우회도로-혼합골재
(관급자재)임실 이도지구 단구간 확장공사-순환골재(총액),관급 임실 이도지구 확장-순환골재
(관급자재)임실 이도지구 단구간 확장공사-혼합골재(총액),관급 임실 이도지구 확장-혼합골재
(관급자재)임실-장수(1공구) 도로시설개량공사(5차)-보강토블록 연결판,관급 임실-장수1공구-보강토블록연결판
(관급자재)임실-장수(1공구) 도로시설개량공사(5차)-보강토블록 연결판 ,관급 임실-장수1공구-보강토블록연결판
(관급자재)임실-장수(1공구) 도로시설개량공사(5차)-스틸그레이팅(소액),관급 임실-장수1공구-스틸그레이팅
(관급자재)임실-장수(1공구) 도로시설개량공사-레미콘(총액),관급 임실-장수1공구-레미콘
(관급자재)임실-장수(1공구) 도로시설개량공사-보강토블록 연결판 ,관급 임실-장수1공구-보강토블록연결판
(관급자재)임실-장수(1공구) 도로시설개량공사-순환골재(소액),관급 임실-장수1공구-순환골재
(관급자재)임실-장수(1공구) 도로시설개량공사-혼합골재(소액),관급 임실-장수1공구-혼합골재
(관급자재)임실-장수(2공구) 도로시설개량공사(5차)-레미콘(총액),관급 임실-장수2공구-레미콘
